,Season,Week_No,Team,Opponent,Venue,Distance_Covered,Sprints
333,2021-2022,19,TSG Hoffenheim,1. FC Union Berlin,Away,118.9,258.0
334,2021-2022,19,VfL Wolfsburg,Hertha Berlin,Home,114.4,243.0
335,2021-2022,19,Hertha Berlin,VfL Wolfsburg,Away,113.4,236.0
336,2021-2022,19,Borussia M'gladbach,Bayer 04 Leverkusen,Home,115.3,271.0
337,2021-2022,19,Bayer 04 Leverkusen,Borussia M'gladbach,Away,114.8,255.0
338,2021-2022,19,FC Augsburg,Eintracht Frankfurt,Home,119.1,284.0
339,2021-2022,19,Eintracht Frankfurt,FC Augsburg,Away,116.8,254.0
340,2021-2022,19,Arminia Bielefeld,SpVgg Greuther Fürth,Home,118.6,218.0
341,2021-2022,19,SpVgg Greuther Fürth,Arminia Bielefeld,Away,117.7,263.0
342,2021-2022,20,Eintracht Frankfurt,Arminia Bielefeld,Home,122.1,221.0
343,2021-2022,20,Arminia Bielefeld,Eintracht Frankfurt,Away,128.2,243.0
344,2021-2022,20,SpVgg Greuther Fürth,1. FSV Mainz 05,Home,116.9,234.0
345,2021-2022,20,1. FSV Mainz 05,SpVgg Greuther Fürth,Away,119.0,271.0
346,2021-2022,20,TSG Hoffenheim,Borussia Dortmund,Home,121.0,246.0
347,2021-2022,20,Borussia Dortmund,TSG Hoffenheim,Away,120.0,248.0
348,2021-2022,20,SC Freiburg,VfB Stuttgart,Home,118.7,241.0
349,2021-2022,20,VfB Stuttgart,SC Freiburg,Away,114.0,210.0
350,2021-2022,20,Borussia M'gladbach,1. FC Union Berlin,Home,112.8,220.0
351,2021-2022,20,1. FC Union Berlin,Borussia M'gladbach,Away,116.7,180.0
352,2021-2022,20,Bayer 04 Leverkusen,FC Augsburg,Home,113.5,278.0
353,2021-2022,20,FC Augsburg,Bayer 04 Leverkusen,Away,115.2,290.0
354,2021-2022,20,VfL Bochum 1848,1. FC Köln,Home,115.2,236.0
355,2021-2022,20,1. FC Köln,VfL Bochum 1848,Away,120.6,243.0
356,2021-2022,20,RB Leipzig,VfL Wolfsburg,Home,106.9,222.0
357,2021-2022,20,VfL Wolfsburg,RB Leipzig,Away,106.0,239.0
358,2021-2022,20,Hertha Berlin,FC Bayern München,Home,117.5,195.0
359,2021-2022,20,FC Bayern München,Hertha Berlin,Away,116.2,224.0
360,2021-2022,21,Hertha Berlin,VfL Bochum 1848,Home,120.8,277.0
361,2021-2022,21,VfL Bochum 1848,Hertha Berlin,Away,118.0,241.0
362,2021-2022,21,1. FC Köln,SC Freiburg,Home,117.3,242.0
363,2021-2022,21,SC Freiburg,1. FC Köln,Away,115.8,228.0
364,2021-2022,21,Arminia Bielefeld,Borussia M'gladbach,Home,116.2,234.0
365,2021-2022,21,Borussia M'gladbach,Arminia Bielefeld,Away,113.5,221.0
366,2021-2022,21,FC Augsburg,1. FC Union Berlin,Home,117.5,285.0
367,2021-2022,21,1. FC Union Berlin,FC Augsburg,Away,115.6,249.0
368,2021-2022,21,1. FSV Mainz 05,TSG Hoffenheim,Home,120.7,241.0
369,2021-2022,21,TSG Hoffenheim,1. FSV Mainz 05,Away,117.6,253.0
370,2021-2022,21,VfB Stuttgart,Eintracht Frankfurt,Home,111.8,224.0
371,2021-2022,21,Eintracht Frankfurt,VfB Stuttgart,Away,119.3,255.0
372,2021-2022,21,FC Bayern München,RB Leipzig,Home,115.8,244.0
373,2021-2022,21,RB Leipzig,FC Bayern München,Away,116.3,241.0
374,2021-2022,21,Borussia Dortmund,Bayer 04 Leverkusen,Home,113.9,252.0
375,2021-2022,21,Bayer 04 Leverkusen,Borussia Dortmund,Away,113.9,250.0
376,2021-2022,21,VfL Wolfsburg,SpVgg Greuther Fürth,Home,106.6,210.0
377,2021-2022,21,SpVgg Greuther Fürth,VfL Wolfsburg,Away,109.9,191.0
378,2021-2022,22,RB Leipzig,1. FC Köln,Home,115.2,254.0
379,2021-2022,22,1. FC Köln,RB Leipzig,Away,119.3,282.0
380,2021-2022,22,SpVgg Greuther Fürth,Hertha Berlin,Home,120.4,249.0
381,2021-2022,22,Hertha Berlin,SpVgg Greuther Fürth,Away,121.3,245.0
382,2021-2022,22,VfL Bochum 1848,FC Bayern München,Home,116.0,115.9
383,2021-2022,22,FC Bayern München,VfL Bochum 1848,Away,115.9,116.0
384,2021-2022,22,SC Freiburg,1. FSV Mainz 05,Home,116.8,220.0
385,2021-2022,22,1. FSV Mainz 05,SC Freiburg,Away,116.7,205.0
386,2021-2022,22,Borussia M'gladbach,FC Augsburg,Home,117.8,227.0
387,2021-2022,22,FC Augsburg,Borussia M'gladbach,Away,119.7,244.0
388,2021-2022,22,Eintracht Frankfurt,VfL Wolfsburg,Home,120.7,242.0
389,2021-2022,22,VfL Wolfsburg,Eintracht Frankfurt,Away,117.8,229.0
390,2021-2022,22,Bayer 04 Leverkusen,VfB Stuttgart,Home,116.3,272.0
391,2021-2022,22,VfB Stuttgart,Bayer 04 Leverkusen,Away,113.3,223.0
392,2021-2022,22,1. FC Union Berlin,Borussia Dortmund,Home,121.6,223.0
393,2021-2022,22,Borussia Dortmund,1. FC Union Berlin,Away,117.3,202.0
394,2021-2022,22,TSG Hoffenheim,Arminia Bielefeld,Home,124.4,286.0
395,2021-2022,22,Arminia Bielefeld,TSG Hoffenheim,Away,122.7,240.0
396,2021-2022,23,1. FSV Mainz 05,Bayer 04 Leverkusen,Home,117.3,235.0
397,2021-2022,23,Bayer 04 Leverkusen,1. FSV Mainz 05,Away,110.2,218.0
398,2021-2022,23,Arminia Bielefeld,1. FC Union Berlin,Home,122.6,209.0
399,2021-2022,23,1. FC Union Berlin,Arminia Bielefeld,Away,122.7,198.0
400,2021-2022,23,FC Augsburg,SC Freiburg,Home,117.2,249.0
401,2021-2022,23,SC Freiburg,FC Augsburg,Away,119.1,237.0
402,2021-2022,23,VfB Stuttgart,VfL Bochum 1848,Home,117.8,238.0
403,2021-2022,23,VfL Bochum 1848,VfB Stuttgart,Away,119.4,266.0
404,2021-2022,23,VfL Wolfsburg,TSG Hoffenheim,Home,116.1,212.0
405,2021-2022,23,TSG Hoffenheim,VfL Wolfsburg,Away,120.4,250.0
406,2021-2022,23,1. FC Köln,Eintracht Frankfurt,Home,119.8,227.0
407,2021-2022,23,Eintracht Frankfurt,1. FC Köln,Away,119.2,230.0
408,2021-2022,23,FC Bayern München,SpVgg Greuther Fürth,Home,115.5,238.0
409,2021-2022,23,SpVgg Greuther Fürth,FC Bayern München,Away,115.0,200.0
410,2021-2022,23,Borussia Dortmund,Borussia M'gladbach,Home,117.3,254.0
411,2021-2022,23,Borussia M'gladbach,Borussia Dortmund,Away,109.7,215.0
412,2021-2022,23,Hertha Berlin,RB Leipzig,Home,108.1,167.0
413,2021-2022,23,RB Leipzig,Hertha Berlin,Away,107.9,194.0
414,2021-2022,24,TSG Hoffenheim,VfB Stuttgart,Home,118.2,230.0
415,2021-2022,24,VfB Stuttgart,TSG Hoffenheim,Away,112.4,236.0
416,2021-2022,24,SpVgg Greuther Fürth,1. FC Köln,Home,112.5,231.0
417,2021-2022,24,1. FC Köln,SpVgg Greuther Fürth,Away,113.2,247.0
418,2021-2022,24,SC Freiburg,Hertha Berlin,Home,117.8,227.0
419,2021-2022,24,Hertha Berlin,SC Freiburg,Away,116.8,173.0
420,2021-2022,24,Borussia M'gladbach,VfL Wolfsburg,Home,109.0,211.0
421,2021-2022,24,VfL Wolfsburg,Borussia M'gladbach,Away,107.4,212.0
422,2021-2022,24,1. FC Union Berlin,1. FSV Mainz 05,Home,115.4,227.0
423,2021-2022,24,1. FSV Mainz 05,1. FC Union Berlin,Away,109.9,243.0
424,2021-2022,24,Bayer 04 Leverkusen,Arminia Bielefeld,Home,114.3,274.0
425,2021-2022,24,Arminia Bielefeld,Bayer 04 Leverkusen,Away,114.8,220.0
426,2021-2022,24,Eintracht Frankfurt,FC Bayern München,Home,121.1,292.0
427,2021-2022,24,FC Bayern München,Eintracht Frankfurt,Away,120.4,288.0
428,2021-2022,24,VfL Bochum 1848,RB Leipzig,Home,111.3,234.0
429,2021-2022,24,RB Leipzig,VfL Bochum 1848,Away,113.5,226.0
430,2021-2022,24,FC Augsburg,Borussia Dortmund,Home,119.0,286.0
431,2021-2022,24,Borussia Dortmund,FC Augsburg,Away,116.9,249.0
432,2021-2022,25,Arminia Bielefeld,FC Augsburg,Home,118.3,251.0
433,2021-2022,25,FC Augsburg,Arminia Bielefeld,Away,119.6,316.0
434,2021-2022,25,VfL Bochum 1848,SpVgg Greuther Fürth,Home,114.6,234.0
435,2021-2022,25,SpVgg Greuther Fürth,VfL Bochum 1848,Away,117.5,223.0
436,2021-2022,25,Hertha Berlin,Eintracht Frankfurt,Home,117.3,233.0
437,2021-2022,25,Eintracht Frankfurt,Hertha Berlin,Away,118.5,258.0
438,2021-2022,25,VfL Wolfsburg,1. FC Union Berlin,Home,112.6,215.0
439,2021-2022,25,1. FC Union Berlin,VfL Wolfsburg,Away,120.0,253.0
440,2021-2022,25,RB Leipzig,SC Freiburg,Home,114.2,166.0
441,2021-2022,25,SC Freiburg,RB Leipzig,Away,115.8,161.0
442,2021-2022,25,FC Bayern München,Bayer 04 Leverkusen,Home,116.7,254.0
443,2021-2022,25,Bayer 04 Leverkusen,FC Bayern München,Away,114.6,252.0
444,2021-2022,25,VfB Stuttgart,Borussia M'gladbach,Home,109.7,212.0
445,2021-2022,25,Borussia M'gladbach,VfB Stuttgart,Away,114.0,193.0
446,2021-2022,25,1. FC Köln,TSG Hoffenheim,Home,124.2,269.0
447,2021-2022,25,TSG Hoffenheim,1. FC Köln,Away,124.3,234.0
448,2021-2022,26,TSG Hoffenheim,FC Bayern München,Home,122.3,255.0
449,2021-2022,26,FC Bayern München,TSG Hoffenheim,Away,117.3,279.0
450,2021-2022,26,SC Freiburg,VfL Wolfsburg,Home,118.9,270.0
451,2021-2022,26,VfL Wolfsburg,SC Freiburg,Away,115.7,222.0
452,2021-2022,26,1. FC Union Berlin,VfB Stuttgart,Home,115.6,231.0
453,2021-2022,26,VfB Stuttgart,1. FC Union Berlin,Away,109.5,204.0
454,2021-2022,26,Borussia M'gladbach,Hertha Berlin,Home,113.1,187.0
455,2021-2022,26,Hertha Berlin,Borussia M'gladbach,Away,119.9,230.0
456,2021-2022,26,Bayer 04 Leverkusen,1. FC Köln,Home,114.1,263.0
457,2021-2022,26,1. FC Köln,Bayer 04 Leverkusen,Away,117.3,266.0
458,2021-2022,26,Eintracht Frankfurt,VfL Bochum 1848,Home,120.3,299.0
459,2021-2022,26,VfL Bochum 1848,Eintracht Frankfurt,Away,116.8,242.0
460,2021-2022,26,Borussia Dortmund,Arminia Bielefeld,Home,118.9,268.0
461,2021-2022,26,Arminia Bielefeld,Borussia Dortmund,Away,117.5,220.0
462,2021-2022,26,SpVgg Greuther Fürth,RB Leipzig,Home,115.5,220.0
463,2021-2022,26,RB Leipzig,SpVgg Greuther Fürth,Away,112.1,223.0
464,2021-2022,25,1. FSV Mainz 05,Borussia Dortmund,Home,109.5,220.0
465,2021-2022,25,Borussia Dortmund,1. FSV Mainz 05,Away,110.3,198.0
466,2021-2022,27,SpVgg Greuther Fürth,SC Freiburg,Home,115.5,225.0
467,2021-2022,27,SC Freiburg,SpVgg Greuther Fürth,Away,115.0,209.0
468,2021-2022,27,Hertha Berlin,TSG Hoffenheim,Home,116.3,226.0
469,2021-2022,27,TSG Hoffenheim,Hertha Berlin,Away,110.0,204.0
470,2021-2022,27,1. FSV Mainz 05,Arminia Bielefeld,Home,108.2,216.0
471,2021-2022,27,Arminia Bielefeld,1. FSV Mainz 05,Away,107.5,237.0
472,2021-2022,27,VfB Stuttgart,FC Augsburg,Home,110.1,201.0
473,2021-2022,27,FC Augsburg,VfB Stuttgart,Away,114.7,224.0
474,2021-2022,27,FC Bayern München,1. FC Union Berlin,Home,114.3,265.0
475,2021-2022,27,1. FC Union Berlin,FC Bayern München,Away,116.2,233.0
476,2021-2022,27,RB Leipzig,Eintracht Frankfurt,Home,114.1,264.0
477,2021-2022,27,Eintracht Frankfurt,RB Leipzig,Away,118.7,242.0
478,2021-2022,27,VfL Wolfsburg,Bayer 04 Leverkusen,Home,110.4,249.0
479,2021-2022,27,Bayer 04 Leverkusen,VfL Wolfsburg,Away,113.4,284.0
480,2021-2022,27,1. FC Köln,Borussia Dortmund,Home,114.9,202.0
481,2021-2022,27,Borussia Dortmund,1. FC Köln,Away,117.4,245.0
482,2021-2022,27,VfL Bochum 1848,Borussia M'gladbach,Home,105.0,204.0
483,2021-2022,27,Borussia M'gladbach,VfL Bochum 1848,Away,113.8,214.0
484,2021-2022,28,1. FC Union Berlin,1. FC Köln,Home,119.5,262.0
485,2021-2022,28,1. FC Köln,1. FC Union Berlin,Away,117.4,236.0
486,2021-2022,28,Arminia Bielefeld,VfB Stuttgart,Home,122.0,224.0
487,2021-2022,28,VfB Stuttgart,Arminia Bielefeld,Away,113.0,205.0
488,2021-2022,28,TSG Hoffenheim,VfL Bochum 1848,Home,121.1,259.0
489,2021-2022,28,VfL Bochum 1848,TSG Hoffenheim,Away,116.9,250.0
490,2021-2022,28,SC Freiburg,FC Bayern München,Home,116.7,216.0
491,2021-2022,28,FC Bayern München,SC Freiburg,Away,117.6,212.0
492,2021-2022,28,Bayer 04 Leverkusen,Hertha Berlin,Home,113.6,211.0
493,2021-2022,28,Hertha Berlin,Bayer 04 Leverkusen,Away,124.6,225.0
494,2021-2022,28,Eintracht Frankfurt,SpVgg Greuther Fürth,Home,115.4,204.0
495,2021-2022,28,SpVgg Greuther Fürth,Eintracht Frankfurt,Away,117.9,190.0
496,2021-2022,28,Borussia Dortmund,RB Leipzig,Home,112.4,235.0
497,2021-2022,28,RB Leipzig,Borussia Dortmund,Away,114.2,227.0
498,2021-2022,28,FC Augsburg,VfL Wolfsburg,Home,117.7,275.0
499,2021-2022,28,VfL Wolfsburg,FC Augsburg,Away,107.8,219.0
500,2021-2022,28,Borussia M'gladbach,1. FSV Mainz 05,Home,111.0,209.0
501,2021-2022,28,1. FSV Mainz 05,Borussia M'gladbach,Away,116.8,236.0
502,2021-2022,26,FC Augsburg,1. FSV Mainz 05,Home,117.7,274.0
503,2021-2022,26,1. FSV Mainz 05,FC Augsburg,Away,116.8,267.0
504,2021-2022,29,VfB Stuttgart,Borussia Dortmund,Home,117.6,242.0
505,2021-2022,29,Borussia Dortmund,VfB Stuttgart,Away,122.5,245.0
506,2021-2022,29,SpVgg Greuther Fürth,Borussia M'gladbach,Home,117.9,238.0
507,2021-2022,29,Borussia M'gladbach,SpVgg Greuther Fürth,Away,116.0,219.0
508,2021-2022,29,1. FC Köln,1. FSV Mainz 05,Home,112.8,211.0
509,2021-2022,29,1. FSV Mainz 05,1. FC Köln,Away,112.6,227.0
510,2021-2022,29,VfL Wolfsburg,Arminia Bielefeld,Home,109.7,234.0
511,2021-2022,29,Arminia Bielefeld,VfL Wolfsburg,Away,112.0,198.0
512,2021-2022,29,FC Bayern München,FC Augsburg,Home,118.8,239.0
513,2021-2022,29,FC Augsburg,FC Bayern München,Away,120.5,234.0
514,2021-2022,29,Hertha Berlin,1. FC Union Berlin,Home,116.8,225.0
515,2021-2022,29,1. FC Union Berlin,Hertha Berlin,Away,117.1,207.0
516,2021-2022,29,VfL Bochum 1848,Bayer 04 Leverkusen,Home,113.6,218.0
517,2021-2022,29,Bayer 04 Leverkusen,VfL Bochum 1848,Away,115.6,248.0
518,2021-2022,29,Eintracht Frankfurt,SC Freiburg,Home,121.4,231.0
519,2021-2022,29,SC Freiburg,Eintracht Frankfurt,Away,123.1,215.0
520,2021-2022,29,RB Leipzig,TSG Hoffenheim,Home,113.3,249.0
521,2021-2022,29,TSG Hoffenheim,RB Leipzig,Away,113.9,241.0
522,2021-2022,30,FC Augsburg,Hertha Berlin,Home,111.9,222.0
523,2021-2022,30,Hertha Berlin,FC Augsburg,Away,114.9,230.0
524,2021-2022,30,1. FSV Mainz 05,VfB Stuttgart,Home,114.5,226.0
525,2021-2022,30,VfB Stuttgart,1. FSV Mainz 05,Away,109.0,220.0
526,2021-2022,30,SC Freiburg,VfL Bochum 1848,Home,114.6,230.0
527,2021-2022,30,VfL Bochum 1848,SC Freiburg,Away,106.8,224.0
528,2021-2022,30,Borussia Dortmund,VfL Wolfsburg,Home,105.8,202.0
529,2021-2022,30,VfL Wolfsburg,Borussia Dortmund,Away,100.0,192.0
530,2021-2022,30,Borussia M'gladbach,1. FC Köln,Home,115.7,227.0
531,2021-2022,30,1. FC Köln,Borussia M'gladbach,Away,120.8,275.0
532,2021-2022,30,Arminia Bielefeld,FC Bayern München,Home,118.5,200.0
533,2021-2022,30,FC Bayern München,Arminia Bielefeld,Away,116.9,236.0
534,2021-2022,30,TSG Hoffenheim,SpVgg Greuther Fürth,Home,117.8,221.0
535,2021-2022,30,SpVgg Greuther Fürth,TSG Hoffenheim,Away,118.2,207.0
536,2021-2022,30,1. FC Union Berlin,Eintracht Frankfurt,Home,122.9,229.0
537,2021-2022,30,Eintracht Frankfurt,1. FC Union Berlin,Away,117.7,212.0
538,2021-2022,30,Bayer 04 Leverkusen,RB Leipzig,Home,114.4,238.0
539,2021-2022,30,RB Leipzig,Bayer 04 Leverkusen,Away,114.6,246.0
540,2021-2022,31,VfL Wolfsburg,1. FSV Mainz 05,Home,113.0,232.0
541,2021-2022,31,1. FSV Mainz 05,VfL Wolfsburg,Away,110.6,200.0
542,2021-2022,31,SpVgg Greuther Fürth,Bayer 04 Leverkusen,Home,112.8,186.0
543,2021-2022,31,Bayer 04 Leverkusen,SpVgg Greuther Fürth,Away,110.0,210.0
544,2021-2022,31,1. FC Köln,Arminia Bielefeld,Home,111.7,252.0
545,2021-2022,31,Arminia Bielefeld,1. FC Köln,Away,112.9,226.0
546,2021-2022,31,SC Freiburg,Borussia M'gladbach,Home,111.0,174.0
547,2021-2022,31,Borussia M'gladbach,SC Freiburg,Away,112.8,188.0
548,2021-2022,31,Eintracht Frankfurt,TSG Hoffenheim,Home,118.0,296.0
549,2021-2022,31,TSG Hoffenheim,Eintracht Frankfurt,Away,116.7,259.0
550,2021-2022,31,RB Leipzig,1. FC Union Berlin,Home,111.2,186.0
551,2021-2022,31,1. FC Union Berlin,RB Leipzig,Away,116.8,190.0
552,2021-2022,31,FC Bayern München,Borussia Dortmund,Home,116.3,268.0
553,2021-2022,31,Borussia Dortmund,FC Bayern München,Away,117.0,259.0
554,2021-2022,31,VfL Bochum 1848,FC Augsburg,Home,115.9,253.0
555,2021-2022,31,FC Augsburg,VfL Bochum 1848,Away,118.9,251.0
556,2021-2022,31,Hertha Berlin,VfB Stuttgart,Home,120.7,242.0
557,2021-2022,31,VfB Stuttgart,Hertha Berlin,Away,112.5,217.0
558,2021-2022,32,1. FC Union Berlin,SpVgg Greuther Fürth,Home,117.1,223.0
559,2021-2022,32,SpVgg Greuther Fürth,1. FC Union Berlin,Away,113.9,213.0
560,2021-2022,32,Arminia Bielefeld,Hertha Berlin,Home,114.2,188.0
561,2021-2022,32,Hertha Berlin,Arminia Bielefeld,Away,117.3,206.0
562,2021-2022,32,FC Augsburg,1. FC Köln,Home,107.3,235.0
563,2021-2022,32,1. FC Köln,FC Augsburg,Away,111.4,224.0
564,2021-2022,32,1. FSV Mainz 05,FC Bayern München,Home,111.6,223.0
565,2021-2022,32,FC Bayern München,1. FSV Mainz 05,Away,104.1,195.0
566,2021-2022,32,VfB Stuttgart,VfL Wolfsburg,Home,110.7,194.0
567,2021-2022,32,VfL Wolfsburg,VfB Stuttgart,Away,112.6,190.0
568,2021-2022,32,Borussia Dortmund,VfL Bochum 1848,Home,115.4,273.0
569,2021-2022,32,VfL Bochum 1848,Borussia Dortmund,Away,114.6,272.0
570,2021-2022,32,TSG Hoffenheim,SC Freiburg,Home,118.9,224.0
571,2021-2022,32,SC Freiburg,TSG Hoffenheim,Away,119.5,218.0
572,2021-2022,32,Borussia M'gladbach,RB Leipzig,Home,111.0,174.0
573,2021-2022,32,RB Leipzig,Borussia M'gladbach,Away,112.8,188.0
574,2021-2022,32,Bayer 04 Leverkusen,Eintracht Frankfurt,Home,115.8,225.0
575,2021-2022,32,Eintracht Frankfurt,Bayer 04 Leverkusen,Away,120.0,224.0
576,2021-2022,33,VfL Bochum 1848,Arminia Bielefeld,Home,118.1,249.0
577,2021-2022,33,Arminia Bielefeld,VfL Bochum 1848,Away,120.6,239.0
578,2021-2022,33,SpVgg Greuther Fürth,Borussia Dortmund,Home,110.8,220.0
579,2021-2022,33,Borussia Dortmund,SpVgg Greuther Fürth,Away,113.3,255.0
580,2021-2022,33,1. FC Köln,VfL Wolfsburg,Home,114.7,175.0
581,2021-2022,33,VfL Wolfsburg,1. FC Köln,Away,110.7,163.0
582,2021-2022,33,TSG Hoffenheim,Bayer 04 Leverkusen,Home,114.4,213.0
583,2021-2022,33,Bayer 04 Leverkusen,TSG Hoffenheim,Away,111.1,230.0
584,2021-2022,33,SC Freiburg,1. FC Union Berlin,Home,117.2,174.0
585,2021-2022,33,1. FC Union Berlin,SC Freiburg,Away,121.3,165.0
586,2021-2022,33,Hertha Berlin,1. FSV Mainz 05,Home,118.8,206.0
587,2021-2022,33,1. FSV Mainz 05,Hertha Berlin,Away,115.6,191.0
588,2021-2022,33,Eintracht Frankfurt,Borussia M'gladbach,Home,111.0,207.0
589,2021-2022,33,Borussia M'gladbach,Eintracht Frankfurt,Away,106.8,172.0
590,2021-2022,33,FC Bayern München,VfB Stuttgart,Home,113.0,190.0
591,2021-2022,33,VfB Stuttgart,FC Bayern München,Away,114.3,209.0
592,2021-2022,33,RB Leipzig,FC Augsburg,Home,110.6,226.0
593,2021-2022,33,FC Augsburg,RB Leipzig,Away,110.5,226.0
594,2021-2022,34,Arminia Bielefeld,RB Leipzig,Home,113.4,230.0
595,2021-2022,34,RB Leipzig,Arminia Bielefeld,Away,110.2,233.0
596,2021-2022,34,FC Augsburg,SpVgg Greuther Fürth,Home,108.1,234.0
597,2021-2022,34,SpVgg Greuther Fürth,FC Augsburg,Away,107.0,220.0
598,2021-2022,34,1. FSV Mainz 05,Eintracht Frankfurt,Home,112.1,244.0
599,2021-2022,34,Eintracht Frankfurt,1. FSV Mainz 05,Away,111.3,253.0
600,2021-2022,34,VfB Stuttgart,1. FC Köln,Home,113.3,276.0
601,2021-2022,34,1. FC Köln,VfB Stuttgart,Away,113.4,242.0
602,2021-2022,34,Borussia M'gladbach,TSG Hoffenheim,Home,109.2,192.0
603,2021-2022,34,TSG Hoffenheim,Borussia M'gladbach,Away,111.0,218.0
604,2021-2022,34,1. FC Union Berlin,VfL Bochum 1848,Home,121.9,202.0
605,2021-2022,34,VfL Bochum 1848,1. FC Union Berlin,Away,114.9,215.0
606,2021-2022,34,Bayer 04 Leverkusen,SC Freiburg,Home,116.1,201.0
607,2021-2022,34,SC Freiburg,Bayer 04 Leverkusen,Away,120.5,234.0
608,2021-2022,34,VfL Wolfsburg,FC Bayern München,Home,113.9,223.0
609,2021-2022,34,FC Bayern München,VfL Wolfsburg,Away,113.5,240.0
610,2021-2022,34,Borussia Dortmund,Hertha Berlin,Home,109.2,192.0
611,2021-2022,34,Hertha Berlin,Borussia Dortmund,Away,113.8,155.0
