,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
58,2022-2023,4,Augsburg,Rafał Gikiewicz,POL,34,90.0,Away,Hoffenheim,Defeat,5.0,1.0,4.0,80.0,1.7,8.0,26.0,30.8,30.0,7.0,36.7,38.5,19.0,78.9,60.1,6.0,1.0,16.7,0.0,14.1
59,2022-2023,4,Mainz 05,Robin Zentner,GER,27,90.0,Home,Bayer Leverkusen,Defeat,5.0,3.0,2.0,40.0,2.7,2.0,2.0,100.0,14.0,4.0,7.1,21.9,2.0,50.0,60.0,4.0,1.0,25.0,3.0,28.4
60,2022-2023,4,Bayer Leverkusen,Lukáš Hrádecký,FIN,32,90.0,Away,Mainz 05,Win,4.0,0.0,4.0,100.0,0.7,9.0,25.0,36.0,28.0,4.0,64.3,49.6,7.0,100.0,69.4,10.0,2.0,20.0,0.0,13.3
61,2022-2023,4,Schalke 04,Alexander Schwolow,GER,30,90.0,Home,Union Berlin,Defeat,7.0,6.0,1.0,14.3,2.6,3.0,12.0,25.0,24.0,3.0,33.3,34.7,6.0,66.7,58.8,12.0,0.0,0.0,0.0,12.0
62,2022-2023,4,Union Berlin,Frederik Rønnow,DEN,30,90.0,Away,Schalke 04,Win,4.0,1.0,4.0,100.0,1.4,11.0,26.0,42.3,46.0,5.0,45.7,40.8,6.0,83.3,60.8,14.0,1.0,7.1,0.0,10.9
63,2022-2023,4,RB Leipzig,Janis Blaswich,GER,31,90.0,Home,Wolfsburg,Win,4.0,0.0,4.0,100.0,0.3,4.0,13.0,30.8,25.0,6.0,40.0,35.3,10.0,30.0,36.7,6.0,0.0,0.0,0.0,13.3
64,2022-2023,4,Wolfsburg,Koen Casteels,BEL,30,90.0,Away,RB Leipzig,Defeat,6.0,2.0,5.0,83.3,2.3,7.0,8.0,87.5,27.0,11.0,22.2,29.6,11.0,18.2,28.5,8.0,1.0,12.5,1.0,18.1
65,2022-2023,4,Hertha BSC,Oliver Christensen,DEN,23,90.0,Home,Dortmund,Defeat,7.0,1.0,6.0,85.7,1.6,3.0,11.0,27.3,25.0,11.0,24.0,27.5,10.0,50.0,48.4,9.0,0.0,0.0,2.0,13.4
66,2022-2023,4,Dortmund,Gregor Kobel,SUI,24,90.0,Away,Hertha BSC,Win,3.0,0.0,2.0,100.0,0.7,7.0,13.0,53.8,42.0,6.0,19.0,28.5,6.0,83.3,61.2,6.0,0.0,0.0,1.0,14.0
67,2022-2023,4,Bayern Munich,Manuel Neuer,GER,36,90.0,Home,Mönchengladbach,Draw,3.0,1.0,2.0,66.7,0.9,2.0,3.0,66.7,15.0,4.0,6.7,23.0,5.0,40.0,34.2,1.0,0.0,0.0,1.0,14.0
68,2022-2023,4,Mönchengladbach,Yann Sommer,SUI,33,90.0,Away,Bayern Munich,Draw,20.0,1.0,19.0,95.0,4.3,11.0,29.0,37.9,38.0,4.0,55.3,45.5,9.0,88.9,61.0,19.0,2.0,10.5,0.0,16.0
69,2022-2023,4,Köln,Marvin Schwäbe,GER,27,90.0,Home,Stuttgart,Draw,6.0,0.0,6.0,100.0,1.4,3.0,11.0,27.3,30.0,1.0,26.7,30.8,8.0,37.5,33.5,8.0,0.0,0.0,1.0,18.5
