,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
558,2019-2020,31,Mönchengladbach,Yann Sommer,SUI,31,90.0,Away,Bayern Munich,Defeat,5,2,3,60.0,1.6,6,14,42.9,54,7,24.1,30.0,9,11.1,19.1,9,1,11.1,1,15.9
559,2019-2020,31,Mainz 05,Florian Müller,GER,22,90.0,Home,Augsburg,Defeat,3,1,2,66.7,0.6,6,10,60.0,38,5,21.1,29.6,8,25.0,34.6,0,0,,1,15.0
560,2019-2020,31,Augsburg,Andreas Luthe,GER,33,90.0,Away,Mainz 05,Win,4,0,4,100.0,1.1,13,26,50.0,31,6,64.5,47.0,8,75.0,57.3,16,3,18.8,0,9.5
561,2019-2020,31,Schalke 04,Alexander Nübel,GER,23,90.0,Home,Bayer Leverkusen,Draw,5,1,5,80.0,0.3,12,28,42.9,22,2,81.8,57.4,11,90.9,61.8,15,0,0.0,0,14.7
562,2019-2020,31,Bayer Leverkusen,Lukáš Hrádecký,FIN,30,90.0,Away,Schalke 04,Draw,3,1,3,100.0,1.5,0,2,0.0,29,7,6.9,24.6,2,0.0,21.0,4,0,0.0,2,14.8
563,2019-2020,32,Mönchengladbach,Yann Sommer,SUI,31,90.0,Home,Wolfsburg,Win,2,0,2,100.0,0.2,3,11,27.3,47,7,23.4,27.9,10,0.0,17.6,7,1,14.3,0,14.8
564,2019-2020,32,Wolfsburg,Koen Casteels,BEL,27,90.0,Away,Mönchengladbach,Defeat,3,3,0,0.0,1.6,6,10,60.0,35,2,25.7,30.5,7,14.3,28.1,2,0,0.0,0,16.0
565,2019-2020,32,Union Berlin,Rafał Gikiewicz,POL,32,90.0,Home,Paderborn 07,Win,3,0,3,100.0,0.3,19,37,51.4,47,5,59.6,48.3,10,90.0,63.5,13,3,23.1,1,14.8
566,2019-2020,32,Paderborn 07,Leopold Zingerle,GER,26,90.0,Away,Union Berlin,Defeat,6,1,6,83.3,0.4,10,14,71.4,56,12,19.6,29.9,9,33.3,31.3,11,1,9.1,1,17.9
567,2019-2020,32,Werder Bremen,Jiří Pavlenka,CZE,28,90.0,Home,Bayern Munich,Defeat,3,1,2,66.7,0.3,8,25,32.0,36,12,47.2,37.5,14,57.1,42.9,14,0,0.0,0,12.6
568,2019-2020,32,Bayern Munich,Manuel Neuer,GER,34,90.0,Away,Werder Bremen,Win,1,0,1,100.0,0.8,5,9,55.6,22,2,22.7,33.8,7,57.1,45.1,5,0,0.0,4,26.4
569,2019-2020,32,Freiburg,Alexander Schwolow,GER,28,90.0,Home,Hertha BSC,Win,4,1,4,100.0,1.0,5,12,41.7,29,4,34.5,36.1,5,40.0,34.4,9,2,22.2,0,11.6
570,2019-2020,32,Hertha BSC,Rune Jarstein,NOR,35,90.0,Away,Freiburg,Defeat,6,2,4,66.7,1.1,5,14,35.7,30,5,33.3,37.2,5,80.0,57.8,10,2,20.0,1,11.7
571,2019-2020,32,Eintracht Frankfurt,Kevin Trapp,GER,29,90.0,Home,Schalke 04,Win,4,1,3,75.0,1.4,4,11,36.4,31,2,32.3,37.5,3,33.3,36.7,9,1,11.1,0,15.0
572,2019-2020,32,Schalke 04,Alexander Nübel,GER,23,90.0,Away,Eintracht Frankfurt,Defeat,4,2,2,50.0,2.0,4,21,19.0,33,2,45.5,42.0,10,60.0,48.1,13,0,0.0,1,10.6
573,2019-2020,32,RB Leipzig,Péter Gulácsi,HUN,30,90.0,Home,Düsseldorf,Draw,2,2,0,0.0,1.5,11,11,100.0,30,5,16.7,28.7,13,46.2,39.2,9,0,0.0,2,21.0
574,2019-2020,32,Düsseldorf,Florian Kastenmeier,GER,22,90.0,Away,RB Leipzig,Draw,5,2,3,60.0,1.5,19,35,54.3,34,3,85.3,60.7,7,85.7,59.1,5,0,0.0,1,12.8
575,2019-2020,32,Bayer Leverkusen,Lukáš Hrádecký,FIN,30,90.0,Home,Köln,Win,1,1,0,0.0,0.6,8,19,42.1,34,5,35.3,35.4,9,77.8,56.1,6,1,16.7,0,12.5
576,2019-2020,32,Köln,Timo Horn,GER,27,90.0,Away,Bayer Leverkusen,Defeat,6,3,3,50.0,2.2,14,26,53.8,34,2,55.9,44.1,9,77.8,59.9,6,0,0.0,2,19.3
577,2019-2020,32,Dortmund,Roman Bürki,SUI,29,90.0,Home,Mainz 05,Defeat,4,2,3,75.0,2.2,2,4,50.0,22,8,18.2,29.6,3,0.0,29.0,5,0,0.0,1,14.2
578,2019-2020,32,Mainz 05,Florian Müller,GER,22,90.0,Away,Dortmund,Win,4,0,4,100.0,1.0,11,23,47.8,30,4,56.7,47.0,9,66.7,48.6,11,0,0.0,0,5.7
579,2019-2020,32,Augsburg,Andreas Luthe,GER,33,90.0,Home,Hoffenheim,Defeat,5,3,1,40.0,2.8,7,16,43.8,29,5,48.3,40.5,8,25.0,35.0,11,0,0.0,0,13.0
580,2019-2020,32,Hoffenheim,Oliver Baumann,GER,30,90.0,Away,Augsburg,Win,5,1,4,80.0,0.6,9,15,60.0,40,10,32.5,32.1,3,66.7,49.3,6,1,16.7,1,18.1
581,2019-2020,33,Hoffenheim,Oliver Baumann,GER,30,90.0,Home,Union Berlin,Win,2,0,2,100.0,0.5,1,13,7.7,31,4,29.0,28.5,8,50.0,37.4,7,0,0.0,1,15.7
582,2019-2020,33,Union Berlin,Moritz Nicolas,GER,22,90.0,Away,Hoffenheim,Defeat,8,4,4,50.0,2.9,8,20,40.0,29,0,55.2,44.7,7,57.1,48.9,4,0,0.0,1,13.7
583,2019-2020,33,Paderborn 07,Leopold Zingerle,GER,26,90.0,Home,Mönchengladbach,Defeat,10,3,8,80.0,5.0,10,14,71.4,52,9,25.0,29.0,9,11.1,22.4,3,0,0.0,1,11.7
584,2019-2020,33,Mönchengladbach,Yann Sommer,SUI,31,90.0,Away,Paderborn 07,Win,1,1,0,0.0,0.5,3,5,60.0,23,1,13.0,28.9,11,18.2,27.4,8,0,0.0,0,7.5
585,2019-2020,33,Schalke 04,Alexander Nübel,GER,23,90.0,Home,Wolfsburg,Defeat,5,4,1,20.0,2.7,7,16,43.8,30,5,36.7,32.3,7,71.4,48.7,6,0,0.0,1,15.0
586,2019-2020,33,Wolfsburg,Koen Casteels,BEL,27,90.0,Away,Schalke 04,Win,3,1,2,66.7,1.2,11,16,68.8,26,3,46.2,37.7,8,50.0,45.9,5,0,0.0,0,14.5
587,2019-2020,33,Hertha BSC,Rune Jarstein,NOR,35,90.0,Home,Bayer Leverkusen,Win,2,0,2,100.0,0.3,17,39,43.6,32,1,84.4,53.2,13,92.3,61.8,12,1,8.3,0,11.3
588,2019-2020,33,Bayer Leverkusen,Lukáš Hrádecký,FIN,30,90.0,Away,Hertha BSC,Defeat,5,2,3,60.0,2.8,9,9,100.0,26,6,30.8,30.9,6,16.7,26.5,6,0,0.0,0,15.0
589,2019-2020,33,Mainz 05,Florian Müller,GER,22,90.0,Home,Werder Bremen,Win,6,1,5,83.3,1.2,7,18,38.9,32,11,37.5,39.3,7,85.7,65.4,17,1,5.9,0,14.1
