,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
253,2017-2018,15,Bayer Leverkusen,Bernd Leno,GER,25,90.0,Away,Stuttgart,Win,5,0,5,100.0,0.5,6,21,28.6,29,4,55.2,41.1,6,83.3,55.5,15,3,20.0,0,16.3
254,2017-2018,15,Hamburger SV,Christian Mathenia,GER,25,90.0,Home,Wolfsburg,Draw,0,0,0,,0.0,4,13,30.8,27,4,40.7,33.3,5,40.0,31.0,13,0,0.0,1,15.8
255,2017-2018,15,Wolfsburg,Koen Casteels,BEL,25,90.0,Away,Hamburger SV,Draw,2,0,2,100.0,0.5,10,32,31.3,27,1,88.9,49.8,10,80.0,56.4,10,1,10.0,0,11.5
256,2017-2018,15,RB Leipzig,Péter Gulácsi,HUN,27,90.0,Home,Mainz 05,Draw,9,2,7,77.8,2.0,12,23,52.2,34,5,58.8,46.8,5,60.0,47.2,6,1,16.7,1,25.0
257,2017-2018,15,Mainz 05,Robin Zentner,GER,23,90.0,Away,RB Leipzig,Draw,6,2,5,83.3,2.2,5,20,25.0,24,4,62.5,47.5,5,100.0,75.4,5,0,0.0,1,14.2
258,2017-2018,15,Dortmund,Roman Bürki,SUI,27,90.0,Home,Werder Bremen,Defeat,4,2,2,50.0,1.1,6,13,46.2,32,6,28.1,34.0,7,57.1,49.9,3,0,0.0,2,21.7
259,2017-2018,15,Werder Bremen,Jiří Pavlenka,CZE,25,90.0,Away,Dortmund,Win,5,1,4,80.0,1.3,11,26,42.3,19,3,84.2,56.2,10,100.0,70.8,14,0,0.0,0,10.4
260,2017-2018,15,Eintracht Frankfurt,Lukáš Hrádecký,FIN,28,90.0,Home,Bayern Munich,Defeat,1,1,0,0.0,0.4,8,18,44.4,37,3,45.9,37.5,1,100.0,60.0,8,0,0.0,1,14.7
261,2017-2018,15,Bayern Munich,Tom Starke,GER,36,90.0,Away,Eintracht Frankfurt,Win,3,0,3,100.0,0.7,7,18,38.9,23,3,56.5,39.3,6,83.3,52.0,12,2,16.7,0,19.8
262,2017-2018,15,Mönchengladbach,Yann Sommer,SUI,28,90.0,Home,Schalke 04,Draw,5,1,5,80.0,0.6,2,10,20.0,33,8,24.2,30.5,4,50.0,42.3,6,0,0.0,0,7.3
263,2017-2018,15,Schalke 04,Ralf Fährmann,GER,29,90.0,Away,Mönchengladbach,Draw,4,1,3,75.0,1.6,6,11,54.5,18,1,44.4,39.1,7,42.9,39.3,4,0,0.0,0,14.0
264,2017-2018,15,Köln,Timo Horn,GER,24,90.0,Home,Freiburg,Defeat,9,4,7,77.8,3.8,8,25,32.0,21,3,90.5,55.9,7,85.7,60.0,16,1,6.3,1,11.9
265,2017-2018,15,Freiburg,Alexander Schwolow,GER,25,90.0,Away,Köln,Win,2,3,1,0.0,1.9,8,17,47.1,20,2,65.0,46.9,4,100.0,67.8,6,1,16.7,1,17.0
